Name,CompanyType,ValidationStatus,Phone_Type,Phone_Number,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status,Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
Douglas-Lane,LLC,In Review,Mobile,(991) 476-3510,HR,alec.graham@douglaslane.com,False,TAX66957,LEI,jK30375,Pending,"87090 Lisa Corners Apt. 848, West Brianstad, PW 65949-1390",87090 Lisa Corners Apt. 848,,West Brianstad,PW,USA,65949-1390,65949,1390
"Shea, Campbell and Cook",Public,Validated,Home,(968) 463-2124,HR,julie.terry@shea.com,True,TAX62031,DUNS,me74655,Active,"74505 Fitzpatrick Roads Apt. 525, East Michael, WA 71528-4161",74505 Fitzpatrick Roads Apt. 525,,East Michael,WA,USA,71528-4161,71528,4161
Mitchell-Brady,LLC,Pending,Home,(735) 532-3966,Business,mandy.craig@mitchellbrady.com,True,TAX60842,LEI,Hm17479,Expired,"01685 Danny Summit Suite 687, Griffithport, TN 17032-4823",01685 Danny Summit Suite 687,,Griffithport,TN,USA,17032-4823,17032,4823
Crawford-Wilson,LLC,Validated,Home,(584) 262-2839,Personal,erin.reynolds@crawfordwilson.com,True,TAX66129,TIN,Ct46028,Active,"6811 Samantha Manor, Apt. 019, Andrewchester, ME 83486-4714",6811 Samantha Manor,Apt. 019,Andrewchester,ME,USA,83486-4714,83486,4714
Montgomery-Cook,Government,Validated,Mobile,(349) 681-5955,Personal,ronald.strong@montgomerycook.com,True,TAX35822,DUNS,nG73795,Active,"3003 Ronald Parkway Apt. 116, West Olivialand, MD 56494-2891",3003 Ronald Parkway Apt. 116,,West Olivialand,MD,USA,56494-2891,56494,2891
Hanson-Gutierrez,Non-Profit,Validated,Home,(464) 264-8932,HR,laura.lewis@hansongutierrez.com,True,TAX79990,PAN,hl92405,Expired,"920 Vega Views Suite 033, South Aaron, VT 15440-3718",920 Vega Views Suite 033,,South Aaron,VT,USA,15440-3718,15440,3718
Reeves and Sons,Government,In Review,Mobile,(407) 629-8519,Sales,david.johnston@reeves.com,False,TAX12620,PAN,KF57393,Inactive,"1944 Amy Trafficway, Apt. 433, New Jeffreytown, DC 57049-6204",1944 Amy Trafficway,Apt. 433,New Jeffreytown,DC,USA,57049-6204,57049,6204
Hicks and Sons,Public,In Review,Home,(920) 473-5007,Personal,stephanie.thomas@hicks.com,True,TAX26271,EIN,fe98453,Expired,"38483 Anderson Knoll, Lake Jeffrey, FM 95683-7458",38483 Anderson Knoll,,Lake Jeffrey,FM,USA,95683-7458,95683,7458
Lewis-Long,Public,Rejected,Office,(433) 957-4294,Support,ruben.herman@lewislong.com,False,TAX27208,PAN,CU44002,Expired,"085 Mason Crest, Kellyland, VA 44853-6965",085 Mason Crest,,Kellyland,VA,USA,44853-6965,44853,6965
Young-Martin,Government,Rejected,Home,(464) 893-2842,Sales,desiree.bradley@youngmartin.com,False,TAX50009,PAN,mW30138,Pending,"59756 Benjamin Island Apt. 600, Elizabethbury, OK 66851-7082",59756 Benjamin Island Apt. 600,,Elizabethbury,OK,USA,66851-7082,66851,7082
Herman Group,Non-Profit,Approved,Fax,(286) 882-1210,Sales,angela.santiago@herman.com,False,TAX30760,DUNS,qM63766,Active,"9550 Patrick View Apt. 466, Suite 400, West Stephanieland, LA 82418-2712",9550 Patrick View Apt. 466,Suite 400,West Stephanieland,LA,USA,82418-2712,82418,2712
Hernandez Ltd,Government,Approved,Mobile,(212) 366-3124,Sales,kathy.taylor@hernandez.com,True,TAX16986,GST,Gl51538,Inactive,"274 Richard Route, Apt. 896, Lake Jamesburgh, KY 70511-1807",274 Richard Route,Apt. 896,Lake Jamesburgh,KY,USA,70511-1807,70511,1807
Smith-Carr,LLC,In Review,Home,(604) 689-8406,Business,darin.duffy@smithcarr.com,True,TAX14601,PAN,vb42222,Expired,"892 Cooper Club Suite 249, Port Kathrynfurt, VI 67758-3287",892 Cooper Club Suite 249,,Port Kathrynfurt,VI,USA,67758-3287,67758,3287
Taylor-Hooper,Public,Rejected,Home,(713) 897-9590,Personal,joshua.choi@taylorhooper.com,True,TAX92700,TIN,as07916,Inactive,"618 Mcbride Port Apt. 904, Suite 097, South Michael, AK 66367-6211",618 Mcbride Port Apt. 904,Suite 097,South Michael,AK,USA,66367-6211,66367,6211
Pratt and Sons,Private,Pending,Home,(863) 961-1633,Support,tonya.simmons@pratt.com,False,TAX81000,LEI,YJ82386,Pending,"905 Romero Road Apt. 161, East Dakotamouth, TX 56732-7437",905 Romero Road Apt. 161,,East Dakotamouth,TX,USA,56732-7437,56732,7437
"Cohen, Parker and Davis",Partnership,Pending,Home,(251) 686-7286,HR,ronald.griffin@cohen.com,False,TAX68900,PAN,dD12859,Inactive,"352 Walker Road, Hayesburgh, OK 19853-6812",352 Walker Road,,Hayesburgh,OK,USA,19853-6812,19853,6812
Gonzalez PLC,Private,Rejected,Fax,(626) 989-5442,Sales,joshua.lopez@gonzalez.com,False,TAX75652,DUNS,nf70491,Pending,"9265 Parrish Falls Suite 658, Stanleyborough, IA 44404-3676",9265 Parrish Falls Suite 658,,Stanleyborough,IA,USA,44404-3676,44404,3676
"Roman, Goodwin and Mendoza",Partnership,Approved,Home,(970) 834-7149,Sales,michael.brock@roman.com,False,TAX87712,PAN,TE65326,Active,"06304 Krista Mills Suite 818, Apt. 103, Shelleybury, SC 57627-9951",06304 Krista Mills Suite 818,Apt. 103,Shelleybury,SC,USA,57627-9951,57627,9951
"Mercado, Grant and Goodwin",Non-Profit,Approved,Office,(576) 465-8637,Business,sandra.parrish@mercado.com,False,TAX59791,LEI,NQ73629,Expired,"0852 Amanda Pines Suite 516, Suite 282, Matthewview, LA 17332-1169",0852 Amanda Pines Suite 516,Suite 282,Matthewview,LA,USA,17332-1169,17332,1169
Maxwell-Porter,Public,Pending,Fax,(774) 369-1819,Sales,samantha.mann@maxwellporter.com,False,TAX92793,LEI,OV26057,Active,"0625 Allen Hills, Apt. 152, New Michaeltown, CO 52552-4226",0625 Allen Hills,Apt. 152,New Michaeltown,CO,USA,52552-4226,52552,4226
Nash LLC,LLC,Approved,Home,(512) 398-9448,Sales,maria.morales@nash.com,True,TAX42886,LEI,Fg70587,Pending,"251 Lowe Extension, Suite 281, Faithport, IA 22514-8868",251 Lowe Extension,Suite 281,Faithport,IA,USA,22514-8868,22514,8868
Davis Ltd,Partnership,Rejected,Fax,(754) 818-2424,HR,alicia.oneill@davis.com,False,TAX62830,EIN,Qq54636,Expired,"12994 Clements Port, Wardview, CA 36705-4315",12994 Clements Port,,Wardview,CA,USA,36705-4315,36705,4315
"Barber, Harrell and Russell",Private,Pending,Fax,(590) 906-9355,HR,timothy.reed@barber.com,True,TAX70020,DUNS,Ji15828,Inactive,"814 Philip Underpass, Apt. 007, Laurashire, RI 67992-5318",814 Philip Underpass,Apt. 007,Laurashire,RI,USA,67992-5318,67992,5318
"Carroll, Byrd and Collins",Public,In Review,Mobile,(580) 916-3188,Business,donald.caldwell@carroll.com,False,TAX47532,DUNS,MR65629,Expired,"614 Kimberly Flats Apt. 771, Suite 156, West Tara, DC 71900-6646",614 Kimberly Flats Apt. 771,Suite 156,West Tara,DC,USA,71900-6646,71900,6646
Vincent-Gonzalez,Public,Approved,Office,(564) 613-3220,Support,jonathan.martin@vincentgonzalez.com,True,TAX19177,EIN,GS83111,Expired,"3982 Carroll Squares, New Johnbury, NY 16203-1160",3982 Carroll Squares,,New Johnbury,NY,USA,16203-1160,16203,1160
Warren-Campbell,Partnership,Pending,Mobile,(661) 323-3871,Business,pamela.wong@warrencampbell.com,False,TAX26109,GST,Hg70652,Expired,"5124 Bennett Lane Apt. 657, Suite 899, Myersville, UT 31386-9338",5124 Bennett Lane Apt. 657,Suite 899,Myersville,UT,USA,31386-9338,31386,9338
Spencer-Richardson,LLC,Validated,Fax,(954) 449-8596,Business,eric.obrien@spencerrichardson.com,True,TAX96412,PAN,Bv72484,Active,"19187 Kimberly Isle, Stephensonmouth, NV 65590-9353",19187 Kimberly Isle,,Stephensonmouth,NV,USA,65590-9353,65590,9353
"Allen, Mitchell and Frazier",Private,Approved,Fax,(812) 942-4039,Personal,benjamin.fields@allen.com,True,TAX93574,EIN,lD47054,Expired,"91083 Carolyn Drive Apt. 434, Vasquezton, OH 24606-6893",91083 Carolyn Drive Apt. 434,,Vasquezton,OH,USA,24606-6893,24606,6893
Graham-Sullivan,Government,Approved,Mobile,(591) 340-3616,Business,andrea.gonzalez@grahamsullivan.com,True,TAX50377,TIN,ta44082,Inactive,"652 Fernando Mills Suite 294, Suite 269, New Lydia, NC 32045-4901",652 Fernando Mills Suite 294,Suite 269,New Lydia,NC,USA,32045-4901,32045,4901
Young-Harrison,Partnership,Rejected,Fax,(346) 810-5750,Support,jennifer.flores@youngharrison.com,True,TAX39499,DUNS,Rc47834,Inactive,"9764 Guzman Park, Port Tonistad, ME 49086-3925",9764 Guzman Park,,Port Tonistad,ME,USA,49086-3925,49086,3925
Cabrera Group,Partnership,Validated,Mobile,(890) 874-9568,Support,michael.brady@cabrera.com,False,TAX53798,EIN,ig10583,Inactive,"729 Heather Pines, Apt. 788, Port Kathleen, ME 26699-4933",729 Heather Pines,Apt. 788,Port Kathleen,ME,USA,26699-4933,26699,4933
"Rodriguez, Robbins and Moore",Non-Profit,In Review,Home,(463) 947-7825,Personal,walter.olson@rodriguez.com,True,TAX64890,LEI,ew72937,Expired,"0519 Patrick Bridge Suite 178, Suite 250, Howellborough, AZ 46497-8114",0519 Patrick Bridge Suite 178,Suite 250,Howellborough,AZ,USA,46497-8114,46497,8114
Carlson Inc,Partnership,Pending,Home,(213) 366-8322,Support,allison.salinas@carlson.com,False,TAX54522,PAN,wS59914,Pending,"357 Gordon Lights, Apt. 195, North Lori, RI 59400-1268",357 Gordon Lights,Apt. 195,North Lori,RI,USA,59400-1268,59400,1268
"Valencia, Nicholson and Ortega",Government,Approved,Mobile,(498) 998-4810,Support,patrick.schultz@valencia.com,False,TAX91190,EIN,Rz46595,Active,"29849 Gonzalez Point, Apt. 155, New Yolanda, MN 16172-8153",29849 Gonzalez Point,Apt. 155,New Yolanda,MN,USA,16172-8153,16172,8153
Watson-Dixon,LLC,Pending,Mobile,(638) 992-7719,HR,alicia.mercer@watsondixon.com,True,TAX46965,LEI,Xh64567,Inactive,"02642 Mitchell Passage, North Carolside, FM 44950-3617",02642 Mitchell Passage,,North Carolside,FM,USA,44950-3617,44950,3617
Shaw-Day,Partnership,In Review,Fax,(682) 379-5062,Personal,troy.perry@shawday.com,True,TAX12012,LEI,tO12015,Expired,"0073 Teresa Camp Suite 583, West Michaelbury, HI 66921-1604",0073 Teresa Camp Suite 583,,West Michaelbury,HI,USA,66921-1604,66921,1604
Pope-Johnson,Government,Rejected,Fax,(394) 271-4704,Personal,lucas.hardy@popejohnson.com,False,TAX86163,GST,Yx45988,Inactive,"736 Young Isle Apt. 640, Apt. 892, North Douglasbury, DE 79086-9164",736 Young Isle Apt. 640,Apt. 892,North Douglasbury,DE,USA,79086-9164,79086,9164
Patrick-Marshall,Private,In Review,Home,(401) 689-7079,Business,tiffany.rios@patrickmarshall.com,False,TAX66942,TIN,go36851,Pending,"2287 Obrien Via, South Karen, CA 27096-4685",2287 Obrien Via,,South Karen,CA,USA,27096-4685,27096,4685
Obrien LLC,Government,Validated,Home,(689) 581-9044,HR,nicholas.gonzalez@obrien.com,True,TAX89821,EIN,iZ06929,Inactive,"16922 Griffin Drives Apt. 215, Gordonside, AK 88471-1381",16922 Griffin Drives Apt. 215,,Gordonside,AK,USA,88471-1381,88471,1381
Guzman-Lewis,Private,Approved,Office,(746) 495-5634,Personal,erica.davis@guzmanlewis.com,True,TAX23203,DUNS,Ur64556,Inactive,"7056 Diane Center Apt. 865, Barkerchester, LA 81128-1365",7056 Diane Center Apt. 865,,Barkerchester,LA,USA,81128-1365,81128,1365
Newman-Estrada,Partnership,Approved,Fax,(888) 511-7101,HR,summer.shaffer@newmanestrada.com,True,TAX63758,TIN,Pu08220,Pending,"118 Rivera Turnpike, Suite 380, Barrettview, SC 51263-7016",118 Rivera Turnpike,Suite 380,Barrettview,SC,USA,51263-7016,51263,7016
"Doyle, Adkins and Stanley",LLC,Validated,Home,(431) 456-1389,HR,melvin.parsons@doyle.com,True,TAX18245,GST,ef93586,Inactive,"768 Brian Knolls Apt. 468, Lake Jonathan, DC 65482-8751",768 Brian Knolls Apt. 468,,Lake Jonathan,DC,USA,65482-8751,65482,8751
Smith LLC,LLC,In Review,Office,(662) 862-4348,Personal,aaron.mullen@smith.com,False,TAX12431,DUNS,ih88782,Pending,"000 Nicolas Avenue, Wandaville, WI 45674-5615",000 Nicolas Avenue,,Wandaville,WI,USA,45674-5615,45674,5615
Malone Ltd,Non-Profit,Rejected,Mobile,(637) 377-2599,Support,alyssa.lopez@malone.com,False,TAX87134,TIN,XR11976,Pending,"388 Paige Island, New Victoriaview, NV 69889-4909",388 Paige Island,,New Victoriaview,NV,USA,69889-4909,69889,4909
"Davila, Martin and Black",Government,Approved,Office,(215) 872-6784,Personal,kevin.williams@davila.com,True,TAX77871,TIN,Ed00710,Expired,"085 Chris Shoals Suite 523, Suite 413, Suzanneview, AR 64725-6675",085 Chris Shoals Suite 523,Suite 413,Suzanneview,AR,USA,64725-6675,64725,6675
"Murphy, Wilkinson and Thompson",Government,In Review,Home,(863) 344-8626,Sales,susan.martinez@murphy.com,True,TAX70384,PAN,uk96984,Inactive,"999 Michael Groves, Browningburgh, WI 57340-2841",999 Michael Groves,,Browningburgh,WI,USA,57340-2841,57340,2841
Ortiz-Anderson,Private,Pending,Fax,(601) 627-4892,Personal,tara.martinez@ortizanderson.com,True,TAX47169,DUNS,kR80636,Expired,"5925 Byrd Crest, Suite 148, Frankshire, NM 92560-6699",5925 Byrd Crest,Suite 148,Frankshire,NM,USA,92560-6699,92560,6699
Smith and Sons,Public,Rejected,Mobile,(935) 654-2875,Business,kim.jones@smith.com,True,TAX29169,DUNS,cz98427,Inactive,"3046 Pamela View, Annebury, OH 84860-8105",3046 Pamela View,,Annebury,OH,USA,84860-8105,84860,8105
James Group,Partnership,Validated,Fax,(543) 812-9343,HR,nicholas.gonzalez@james.com,True,TAX24147,EIN,kD18678,Active,"6135 Gregory Dam Apt. 878, Lake Edward, IN 22561-4326",6135 Gregory Dam Apt. 878,,Lake Edward,IN,USA,22561-4326,22561,4326
"Curtis, Allen and Sanders",Public,Pending,Mobile,(448) 928-3153,Sales,cheryl.shelton@curtis.com,False,TAX60543,EIN,gq10970,Inactive,"67247 Miranda Forge, North Gabriel, AZ 66905-1431",67247 Miranda Forge,,North Gabriel,AZ,USA,66905-1431,66905,1431
Scott PLC,Public,Approved,Office,(321) 798-1934,Personal,crystal.freeman@scott.com,False,TAX82652,EIN,gS61135,Pending,"9498 Patel Islands, Suite 967, Juliestad, NY 60613-9004",9498 Patel Islands,Suite 967,Juliestad,NY,USA,60613-9004,60613,9004
Buck and Sons,Non-Profit,In Review,Home,(579) 507-9195,HR,michael.hughes@buck.com,False,TAX34561,LEI,Er37096,Pending,"5463 Best Stream, Perkinsshire, PR 27270-8197",5463 Best Stream,,Perkinsshire,PR,USA,27270-8197,27270,8197
Ho PLC,Partnership,In Review,Home,(241) 820-9136,Support,ryan.butler@ho.com,False,TAX32044,DUNS,Eo55836,Active,"46268 Sherman Manor, Turnermouth, NH 70548-2401",46268 Sherman Manor,,Turnermouth,NH,USA,70548-2401,70548,2401
"Aguirre, Hogan and Rice",Private,Pending,Mobile,(705) 850-8597,Personal,levi.dillon@aguirre.com,False,TAX88697,DUNS,El10620,Inactive,"295 Miller Square Apt. 397, Suite 705, New Brenda, NY 85487-1577",295 Miller Square Apt. 397,Suite 705,New Brenda,NY,USA,85487-1577,85487,1577
Roberts-Harris,Non-Profit,Pending,Mobile,(595) 200-6625,Business,jason.gibson@robertsharris.com,True,TAX69182,DUNS,po65808,Inactive,"94068 Jason Mall Suite 794, Tinamouth, AZ 72634-3805",94068 Jason Mall Suite 794,,Tinamouth,AZ,USA,72634-3805,72634,3805
Nelson Group,Partnership,Pending,Office,(906) 851-9282,Sales,victoria.cook@nelson.com,False,TAX72942,TIN,DV83693,Expired,"8594 Noble Well Apt. 539, Apt. 237, New Janethaven, SD 23277-5812",8594 Noble Well Apt. 539,Apt. 237,New Janethaven,SD,USA,23277-5812,23277,5812
Brown-Olson,Government,Approved,Fax,(539) 632-1058,Personal,edward.keller@brownolson.com,False,TAX16251,LEI,lg29366,Active,"32381 Pearson Park Apt. 844, Suite 603, Nealfort, MH 75993-6659",32381 Pearson Park Apt. 844,Suite 603,Nealfort,MH,USA,75993-6659,75993,6659
"Zhang, Coleman and Smith",Partnership,In Review,Fax,(583) 759-7272,Business,pamela.pearson@zhang.com,True,TAX45648,TIN,ir19893,Pending,"879 Mason Lane, Stokesfurt, MP 29632-8448",879 Mason Lane,,Stokesfurt,MP,USA,29632-8448,29632,8448
Williams-Bennett,Non-Profit,Approved,Office,(439) 734-4291,Business,justin.mendoza@williamsbennett.com,False,TAX20894,GST,bl12570,Expired,"7085 Zhang Mission Suite 365, Fredborough, MI 27634-1568",7085 Zhang Mission Suite 365,,Fredborough,MI,USA,27634-1568,27634,1568
Dominguez Group,Private,Approved,Fax,(481) 397-4787,HR,jacob.vaughan@dominguez.com,True,TAX27093,DUNS,in05014,Active,"513 Cook Spur, Suite 882, Port Rebeccaside, MD 95772-3179",513 Cook Spur,Suite 882,Port Rebeccaside,MD,USA,95772-3179,95772,3179
Moreno-Anderson,Private,Rejected,Office,(580) 290-6358,Business,anna.daniel@morenoanderson.com,False,TAX51331,PAN,bq71721,Inactive,"2603 Andersen Extensions Apt. 112, New Morgan, VI 89945-8809",2603 Andersen Extensions Apt. 112,,New Morgan,VI,USA,89945-8809,89945,8809
"Diaz, Hinton and Zimmerman",Partnership,Validated,Mobile,(790) 401-4608,HR,corey.thomas@diaz.com,False,TAX91256,LEI,qg27807,Expired,"8094 Armstrong Land Apt. 200, Port Jessica, IA 79507-3830",8094 Armstrong Land Apt. 200,,Port Jessica,IA,USA,79507-3830,79507,3830
Gillespie Group,Private,Rejected,Fax,(678) 939-4690,Sales,yvonne.hill@gillespie.com,True,TAX49664,GST,yB32952,Pending,"819 Elizabeth Turnpike Suite 080, North Benjamin, OK 29387-4050",819 Elizabeth Turnpike Suite 080,,North Benjamin,OK,USA,29387-4050,29387,4050
"Huerta, Adams and Mercado",Non-Profit,Rejected,Mobile,(583) 235-1913,Business,james.gonzalez@huerta.com,True,TAX97949,TIN,EC75619,Expired,"423 Allen Throughway Apt. 134, Port Patricialand, LA 37100-8871",423 Allen Throughway Apt. 134,,Port Patricialand,LA,USA,37100-8871,37100,8871
Alexander-Rogers,Non-Profit,Pending,Home,(810) 629-9074,HR,emily.davenport@alexanderrogers.com,True,TAX12808,GST,Lk06845,Inactive,"681 Moore Greens, Suite 940, Foxchester, NC 26694-6954",681 Moore Greens,Suite 940,Foxchester,NC,USA,26694-6954,26694,6954
"Johnson, Tate and Short",Private,In Review,Home,(763) 261-6190,Support,gregory.harris@johnson.com,True,TAX47119,TIN,ui15400,Expired,"875 Ayers Row Suite 165, Debbiemouth, DE 58948-2842",875 Ayers Row Suite 165,,Debbiemouth,DE,USA,58948-2842,58948,2842
Carroll PLC,Private,Rejected,Home,(658) 368-7504,Support,tyler.moore@carroll.com,False,TAX81752,PAN,kQ77253,Expired,"72332 Ricky Highway, Suite 133, North Antonioland, AK 25479-2489",72332 Ricky Highway,Suite 133,North Antonioland,AK,USA,25479-2489,25479,2489
"Macias, Chavez and Howard",Public,In Review,Home,(808) 444-1070,Business,cody.cook@macias.com,False,TAX19453,LEI,gK43880,Active,"94711 Rachel Trail Apt. 172, Apt. 788, North Lindaview, IA 91380-7230",94711 Rachel Trail Apt. 172,Apt. 788,North Lindaview,IA,USA,91380-7230,91380,7230
Herring-Pham,Partnership,Rejected,Fax,(891) 366-9068,Personal,nathan.beck@herringpham.com,True,TAX48496,TIN,SO12492,Active,"1654 Kelley Fall, Port Jessica, AZ 82077-3058",1654 Kelley Fall,,Port Jessica,AZ,USA,82077-3058,82077,3058
Green Group,LLC,Rejected,Home,(749) 576-4002,Business,richard.bridges@green.com,True,TAX62001,GST,uF23663,Active,"77984 Thompson Point, Apt. 623, Port Katrinaside, PW 89801-8200",77984 Thompson Point,Apt. 623,Port Katrinaside,PW,USA,89801-8200,89801,8200
Long Ltd,Public,In Review,Mobile,(321) 337-5036,Sales,teresa.johnston@long.com,True,TAX67524,EIN,rJ19578,Expired,"584 Thomas Views, Port Christine, CT 87445-2693",584 Thomas Views,,Port Christine,CT,USA,87445-2693,87445,2693
Curry LLC,Private,Rejected,Fax,(901) 348-4748,HR,brett.rodriguez@curry.com,False,TAX41718,EIN,TW92510,Inactive,"88998 Coleman Trail, Suite 920, Youngmouth, MA 49158-8715",88998 Coleman Trail,Suite 920,Youngmouth,MA,USA,49158-8715,49158,8715
Kim-Thompson,Government,Pending,Office,(572) 636-3610,Business,carrie.martinez@kimthompson.com,True,TAX68399,PAN,vT80256,Active,"3353 Mays Club, East Kyleberg, AK 74841-3276",3353 Mays Club,,East Kyleberg,AK,USA,74841-3276,74841,3276
"Dickerson, Pena and Harrison",Government,In Review,Mobile,(860) 556-1650,Sales,craig.thomas@dickerson.com,False,TAX68233,TIN,cv73085,Active,"5891 Cox Roads Apt. 943, Suite 187, West Tylerbury, MH 75578-6294",5891 Cox Roads Apt. 943,Suite 187,West Tylerbury,MH,USA,75578-6294,75578,6294
Thomas and Sons,Partnership,Approved,Home,(328) 311-8760,Support,judith.elliott@thomas.com,False,TAX97328,PAN,Af64331,Expired,"09645 Richardson Plaza, West Amberhaven, FM 34161-6953",09645 Richardson Plaza,,West Amberhaven,FM,USA,34161-6953,34161,6953
"Edwards, Stevens and Curry",LLC,In Review,Mobile,(986) 410-2221,HR,craig.martinez@edwards.com,False,TAX46446,EIN,dQ64104,Inactive,"45992 Williams Road, Suite 611, New Justinport, OR 95783-5423",45992 Williams Road,Suite 611,New Justinport,OR,USA,95783-5423,95783,5423
"Nixon, Odom and Hansen",LLC,Rejected,Mobile,(648) 283-7056,HR,james.lawson@nixon.com,True,TAX19918,GST,lR28533,Inactive,"59235 Brian Vista, Apt. 184, Gentryburgh, AL 65087-9687",59235 Brian Vista,Apt. 184,Gentryburgh,AL,USA,65087-9687,65087,9687
Walters-Dickson,Non-Profit,Pending,Office,(570) 617-8793,Business,ashley.osborne@waltersdickson.com,True,TAX65926,PAN,KM01386,Inactive,"68432 Long Inlet, Apt. 340, East Davidbury, FM 12814-3608",68432 Long Inlet,Apt. 340,East Davidbury,FM,USA,12814-3608,12814,3608
Henderson PLC,Public,Pending,Mobile,(590) 853-2798,Support,sandra.hunter@henderson.com,True,TAX15401,PAN,cW00389,Active,"52756 William Valleys, Suite 337, Heathermouth, IN 82217-8518",52756 William Valleys,Suite 337,Heathermouth,IN,USA,82217-8518,82217,8518
"Perkins, Zuniga and Holloway",Non-Profit,In Review,Mobile,(723) 633-7514,Personal,anna.garcia@perkins.com,True,TAX45317,TIN,Ne65724,Active,"19638 Rivera Turnpike, Port Michaelshire, MT 83735-1681",19638 Rivera Turnpike,,Port Michaelshire,MT,USA,83735-1681,83735,1681
Velez LLC,LLC,Validated,Office,(414) 662-7898,Sales,robert.garcia@velez.com,False,TAX76171,DUNS,tB87910,Inactive,"33749 Jones Burg Apt. 182, Suite 535, Stevenberg, OH 23544-7426",33749 Jones Burg Apt. 182,Suite 535,Stevenberg,OH,USA,23544-7426,23544,7426
"Weber, Hernandez and Bailey",Public,Approved,Fax,(829) 872-6115,Support,sophia.clements@weber.com,True,TAX31278,PAN,Il91756,Active,"0354 Hughes Forks Suite 056, Anthonybury, CO 41245-4285",0354 Hughes Forks Suite 056,,Anthonybury,CO,USA,41245-4285,41245,4285
Cook and Sons,LLC,In Review,Fax,(983) 381-8535,Business,jasmine.carter@cook.com,True,TAX65185,LEI,wy56878,Expired,"800 Kathleen Walk, Suite 494, West Nathanstad, SD 91773-6395",800 Kathleen Walk,Suite 494,West Nathanstad,SD,USA,91773-6395,91773,6395
"Hartman, Jackson and Morgan",Private,Validated,Fax,(543) 781-9178,HR,amy.fernandez@hartman.com,True,TAX72907,EIN,zH20969,Active,"4767 Spears Spurs Apt. 698, Belindafurt, NC 22495-3606",4767 Spears Spurs Apt. 698,,Belindafurt,NC,USA,22495-3606,22495,3606
"Sanders, Sanders and Villa",LLC,Rejected,Home,(557) 618-6336,Support,alexis.holmes@sanders.com,False,TAX94909,DUNS,rh54889,Active,"8681 Kevin Turnpike Suite 784, Apt. 105, Lopezmouth, OR 44753-4753",8681 Kevin Turnpike Suite 784,Apt. 105,Lopezmouth,OR,USA,44753-4753,44753,4753
"Smith, Martinez and Gardner",Non-Profit,In Review,Office,(639) 987-8199,Support,hannah.moore@smith.com,False,TAX14037,TIN,AW29776,Pending,"16565 Christopher Brook Suite 167, Suite 412, Christianburgh, UT 30818-1214",16565 Christopher Brook Suite 167,Suite 412,Christianburgh,UT,USA,30818-1214,30818,1214
Kennedy-Sanders,Government,Approved,Office,(826) 567-3941,Sales,kimberly.barnes@kennedysanders.com,False,TAX22507,EIN,gC16955,Inactive,"751 Hardy Neck Apt. 885, Suite 437, Lake Brendan, VA 60826-7243",751 Hardy Neck Apt. 885,Suite 437,Lake Brendan,VA,USA,60826-7243,60826,7243
Morgan LLC,Private,Pending,Home,(566) 227-2081,HR,samuel.lang@morgan.com,False,TAX74647,TIN,ph90758,Active,"40497 Ward Ports, Adamsbury, SC 56875-2716",40497 Ward Ports,,Adamsbury,SC,USA,56875-2716,56875,2716
"Perez, Rodriguez and Montgomery",Private,Rejected,Mobile,(736) 651-5712,HR,jennifer.durham@perez.com,False,TAX61629,GST,Pa40622,Inactive,"100 Melanie Mission Apt. 635, Suite 367, Port Matthew, AS 89255-3419",100 Melanie Mission Apt. 635,Suite 367,Port Matthew,AS,USA,89255-3419,89255,3419
Mckinney Ltd,Partnership,Pending,Office,(574) 872-7478,Sales,david.cook@mckinney.com,False,TAX84185,DUNS,lf81903,Active,"555 Mckenzie Curve Apt. 894, Apt. 241, Alexandraburgh, TX 82242-6288",555 Mckenzie Curve Apt. 894,Apt. 241,Alexandraburgh,TX,USA,82242-6288,82242,6288
Peterson Inc,Private,Validated,Home,(515) 552-1549,Business,jennifer.armstrong@peterson.com,True,TAX20197,GST,KX92363,Expired,"9805 Dylan Trace Suite 302, Stacybury, WI 21716-4667",9805 Dylan Trace Suite 302,,Stacybury,WI,USA,21716-4667,21716,4667
Taylor and Sons,Public,Rejected,Home,(942) 835-8884,HR,debra.walker@taylor.com,True,TAX42748,EIN,wU36307,Inactive,"2177 Gregg Islands Apt. 593, Suite 699, North Melanie, CO 80704-3955",2177 Gregg Islands Apt. 593,Suite 699,North Melanie,CO,USA,80704-3955,80704,3955
"Harris, Jefferson and Blackburn",Non-Profit,Validated,Home,(442) 945-9765,HR,katherine.sosa@harris.com,False,TAX98194,TIN,Kv43422,Active,"488 Rivera Turnpike, Apt. 147, North Brandon, UT 62405-5241",488 Rivera Turnpike,Apt. 147,North Brandon,UT,USA,62405-5241,62405,5241
"Rodriguez, Mitchell and Hunt",Non-Profit,Rejected,Fax,(469) 378-5136,HR,nicole.tyler@rodriguez.com,True,TAX92162,LEI,NH95873,Expired,"095 Kelly Rue, Suite 079, West Kellychester, AK 89713-3491",095 Kelly Rue,Suite 079,West Kellychester,AK,USA,89713-3491,89713,3491
