Name,CompanyType,Address,Phone_Type,Phone_Number,ValidationStatus,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status
Roth and Sons,Public,"510 Edwards Vista, Washingtonfurt, CO, USA - 41036-9546",Mobile,+1-425-439-8271x9790,Validated,Business,jonathon28@example.com,False,TAX65623,GST,eu96889,Active
Gonzalez-Holloway,Public,"69127 Patricia Villages, Port Kimberlyberg, MH, USA - 14957-3141",Mobile,001-500-470-0595x2561,Validated,Business,michellesmith@example.org,False,TAX27715,PAN,To11174,Inactive
Garcia-Brooks,Public,"39477 Simmons Green, New John, UT, USA - 90523-9511",Office,2874457322,In Review,HR,xavierolsen@example.com,False,TAX69748,LEI,dn76595,Inactive
Herrera and Sons,Private,"2166 Connor Garden Apt. 068, North Christy, MT, USA - 73814-4203",Fax,+1-717-282-5232x04135,In Review,Support,susan04@example.org,False,TAX76640,EIN,aw80113,Inactive
Johnson LLC,Public,"8611 Anne Haven, Millerstad, WV, USA - 75591-3205",Mobile,414-253-3222x716,Rejected,HR,jordanrichard@example.net,True,TAX79924,TIN,FV81137,Inactive
"Nash, Lawson and Torres",Private,"39438 Timothy Islands, North Brandonview, AZ, USA - 99064-8205",Fax,+1-431-688-2917x2080,In Review,Business,rickfisher@example.com,False,TAX66359,DUNS,Ug68655,Active
Welch Ltd,Private,"3292 Griffin Rest Apt. 787, West Josephhaven, VA, USA - 76459-5456",Home,+1-897-715-3407x08542,Pending,HR,phillipslarry@example.net,False,TAX20947,LEI,hZ77923,Inactive
Perkins Group,Private,"05229 Charlene Roads, Lake Anthonyport, WV, USA - 74871-7102",Fax,001-599-321-1291x5375,Rejected,Sales,jamesbrown@example.net,False,TAX52704,DUNS,VD96082,Inactive
"Austin, Goodwin and Shaffer",Public,"81867 Barrera Union, New Larryside, VA, USA - 17223-5900",Office,+1-204-542-5245,In Review,Personal,perrymartin@example.org,False,TAX57657,TIN,Qr88532,Inactive
Vasquez-Moss,Partnership,"28831 Nicholas Gardens Apt. 280, Jamesshire, SD, USA - 25968-6316",Mobile,+1-994-334-7815x68636,Rejected,Personal,cruztimothy@example.com,False,TAX57471,DUNS,xf36760,Inactive
Miller and Sons,Public,"01323 Duncan Groves, New Christopher, NY, USA - 50704-6477",Office,(619)333-5029,In Review,HR,aguilarsheila@example.net,True,TAX67969,PAN,Af96433,Active
Ward PLC,Partnership,"2152 Turner Gateway Suite 035, Mirandaview, CO, USA - 45578-3883",Mobile,367-388-7692x00306,Pending,Business,antoniojenkins@example.org,False,TAX47469,GST,Ox60931,Inactive
Hernandez-Roberts,Private,"798 Archer Centers, Whitemouth, NY, USA - 39549-3573",Home,855-870-1814,Approved,HR,tsmith@example.net,False,TAX96046,TIN,hH43082,Active
"Hess, Garcia and White",Non-Profit,"681 Teresa Lake Suite 923, Bensonbury, DE, USA - 78645-4735",Office,223.628.3718x07328,In Review,Business,pamela94@example.org,False,TAX95944,GST,QB38110,Inactive
Hobbs Group,Private,"5804 Zuniga Islands, Meganfort, OH, USA - 17041-3791",Office,664.915.2099x1333,Rejected,Personal,erika62@example.net,True,TAX11698,GST,gm42639,Inactive
Conley PLC,Non-Profit,"71508 Sharp Park Apt. 946, North Danielview, MA, USA - 81281-4473",Mobile,+1-240-428-4175,Approved,Support,crobbins@example.org,True,TAX56402,LEI,sa37174,Inactive
White Inc,Public,"01324 Reyes Ville Apt. 789, Bellfort, AZ, USA - 52545-4195",Office,2735400798,Approved,Business,rgoodwin@example.com,False,TAX12081,DUNS,Ly63945,Active
Jacobs-Sanchez,Private,"17866 Robyn Mountains Apt. 191, Lopezfort, NM, USA - 63805-7786",Fax,229.594.2248x83103,Pending,Personal,mdavis@example.net,True,TAX59060,TIN,mz75657,Active
White-Mayo,LLC,"813 Erica Coves, North Brendan, MS, USA - 56234-4817",Office,367.741.4937x1416,Approved,Business,zachary69@example.com,False,TAX90767,DUNS,yK03650,Inactive
"Strickland, Shaffer and Walker",LLC,"09771 Christopher Mission, New Amymouth, FL, USA - 50620-6739",Office,872.480.0500x8902,In Review,Support,annette24@example.net,True,TAX85217,EIN,Fd83913,Inactive
Howard LLC,Private,"028 Miles Way, East Frankview, OK, USA - 84087-3837",Mobile,001-912-667-6758,Rejected,Business,amber45@example.com,True,TAX98224,EIN,Er08964,Inactive
"Dickerson, Payne and Strong",Partnership,"7815 Michael Plain, Isaacfurt, NH, USA - 27764-2869",Office,274.228.7299x690,Rejected,HR,christopher60@example.org,True,TAX23343,GST,tl59653,Active
"Mathews, Carey and Jackson",Public,"6483 Webb Brooks Suite 375, East Erinchester, HI, USA - 90730-1658",Office,823.854.7148,Pending,HR,qrivera@example.net,True,TAX54488,GST,Bg25928,Active
May-Lucas,Public,"6641 Carter Glen Suite 254, Sanchezbury, RI, USA - 24573-9960",Home,+1-751-978-2392x2741,Validated,Business,elandry@example.org,True,TAX28214,GST,Yf24536,Active
Jones-Murphy,Non-Profit,"7098 Wolfe Bypass, North William, OR, USA - 89428-8937",Office,764-723-9877,Approved,HR,april12@example.org,True,TAX97288,DUNS,ms57407,Active
"Butler, Watts and Sanchez",Government,"262 Dawn Throughway, Melissaborough, SC, USA - 91825-8027",Office,001-272-769-6343x6375,Pending,Business,kmorrison@example.net,True,TAX99005,TIN,up84531,Inactive
"Gonzalez, Vincent and Joseph",Partnership,"2901 Cobb Square, Lake Michaelchester, NY, USA - 27322-4846",Home,586-316-7240x268,In Review,HR,keith30@example.org,True,TAX85200,EIN,kn43380,Active
"Ho, Vargas and Robinson",Private,"283 Luna Junctions, Aguilarview, MA, USA - 45639-2887",Fax,9894667715,Approved,HR,sstein@example.com,True,TAX23416,EIN,pA82647,Active
Rivera and Sons,Government,"3815 Davis View, Lake Danielchester, NH, USA - 11461-6205",Office,+1-952-473-6707,Rejected,Sales,hstanley@example.org,True,TAX24185,TIN,zp68068,Active
Richards Group,Public,"1745 David Parks Suite 924, South Sonyaland, AZ, USA - 71136-6593",Home,230-446-7090x4151,Pending,HR,xstone@example.net,False,TAX68657,TIN,Nn78779,Active
"Christensen, Mcdonald and Garrett",Public,"322 Hale Unions Apt. 090, New Lawrencemouth, NE, USA - 55132-6490",Home,(789)289-6517,In Review,Business,kim06@example.org,True,TAX36435,PAN,Ei18140,Active
Bailey-Hess,Non-Profit,"9671 Wayne Trace Apt. 765, Michaelfurt, ID, USA - 37795-9072",Home,+1-556-805-1892x0021,In Review,Personal,morrisjacob@example.org,False,TAX62724,PAN,wL24169,Active
Smith-Monroe,Public,"393 Yesenia Ranch, Whitneyfort, ME, USA - 55933-8616",Mobile,646-992-4280,Rejected,Sales,kathleenking@example.com,False,TAX22433,DUNS,FE53225,Active
"Francis, Morton and Murphy",LLC,"939 Green Street, New Melanie, MO, USA - 99699-4613",Mobile,436.268.4247,Pending,Support,havila@example.org,False,TAX35888,TIN,mi60946,Active
Kelly-Walker,Partnership,"4221 Melissa Landing Apt. 329, Lisabury, LA, USA - 21635-4807",Mobile,316-884-9573x21753,Approved,Business,mwu@example.com,True,TAX13540,TIN,eE68845,Inactive
Fernandez-Hernandez,LLC,"97131 Butler Dale, New Billyland, NE, USA - 72123-7423",Office,(747)551-5192x680,In Review,HR,calebpowell@example.com,True,TAX99569,EIN,UX20012,Inactive
Mack and Sons,Government,"8905 Crystal Parks, East Hayleyhaven, VT, USA - 12370-9645",Mobile,+1-415-435-9468x0969,Rejected,HR,davidrodriguez@example.net,False,TAX23005,GST,LR70328,Active
"Owens, Byrd and Wilkinson",Partnership,"62671 Hahn Walk Suite 176, Hernandezland, OR, USA - 21185-3192",Fax,754.454.5927x08731,Approved,Sales,bowersjoshua@example.com,True,TAX87659,PAN,iy42361,Inactive
Fields-Woods,LLC,"72069 Terry Ramp, North Jamesland, ID, USA - 87014-1247",Office,545.402.6929x5377,In Review,Support,james13@example.org,False,TAX25992,PAN,aY71871,Active
"Garcia, Beasley and Williams",Private,"6077 Morgan Lane Apt. 340, Jasonside, IL, USA - 18863-7875",Fax,(756)921-7206x34840,Rejected,Support,maryorozco@example.org,True,TAX19930,EIN,IU50709,Active
Garcia PLC,Private,"277 Horn Ville Suite 303, Wandabury, VT, USA - 42014-9174",Fax,493-435-4351,Pending,HR,ijones@example.net,False,TAX50168,EIN,AC99980,Active
Hill-Odonnell,LLC,"3402 Meredith Tunnel, Timothyside, MN, USA - 29758-8408",Office,779.522.7157,Validated,Personal,arroyorachel@example.com,False,TAX63019,LEI,xk25368,Active
"Butler, Miller and Giles",Partnership,"64672 Leah Motorway, New Brianside, WA, USA - 70850-1522",Office,253.512.3486x413,Pending,Business,loganelizabeth@example.com,False,TAX72895,PAN,qm23192,Active
"Floyd, Burton and Lowery",Partnership,"98153 Zachary Cliff, Albertside, LA, USA - 58395-8262",Home,+1-631-780-1520x233,In Review,HR,martinvictor@example.com,True,TAX16703,PAN,Hm97057,Inactive
Rodriguez-Johnson,Government,"6256 Freeman Village Suite 128, Ryanbury, ND, USA - 72740-5986",Office,(522)563-3939,Pending,HR,nhowell@example.com,False,TAX96671,GST,ki21932,Inactive
Henderson-Conway,Government,"9913 Rowe Dale Apt. 190, Gouldland, AR, USA - 74928-5863",Fax,(950)560-6179,Rejected,Sales,vturner@example.net,True,TAX13386,LEI,di54534,Active
Landry PLC,Partnership,"01791 Brown Trail Apt. 083, Kristifurt, AS, USA - 11047-3562",Home,386-617-3759x7123,In Review,Sales,clarkerika@example.org,False,TAX91830,GST,Oz81102,Active
"Kelley, Suarez and Morton",Non-Profit,"71994 John Village Suite 498, North Anthonybury, IL, USA - 45450-9698",Fax,729.780.1659,In Review,Support,nguyenchelsey@example.com,False,TAX87929,DUNS,Jg98280,Active
Fuller-Chan,Government,"382 Cody Manors Apt. 185, Henrystad, SD, USA - 85423-7424",Home,(816)570-2804x872,In Review,Business,lisa28@example.com,False,TAX46723,DUNS,wi43507,Active
Mcclure Group,Partnership,"085 Christian Cliffs Suite 850, New Savannah, VI, USA - 28689-9020",Office,(594)968-6255x73383,Validated,Business,allennicholas@example.com,True,TAX21540,DUNS,Sb81325,Inactive
Jordan-Norris,Public,"2754 David Passage, Jenningsbury, AZ, USA - 75441-2155",Office,+1-992-990-5658,Rejected,Support,stonegary@example.org,False,TAX79373,GST,zl91560,Active
Schneider Group,Public,"7774 Brooks Unions, Johnsonport, CT, USA - 80414-3805",Office,899.999.9582x8103,Pending,HR,karenpage@example.net,True,TAX62934,LEI,oF93482,Inactive
Williams LLC,LLC,"873 Macias Street Apt. 756, Martinezburgh, IN, USA - 25723-9722",Fax,+1-960-306-0682x8805,In Review,Personal,mmartin@example.org,False,TAX65682,PAN,Ip27004,Active
"Cobb, Perez and Robinson",Public,"52744 Brown Parks Suite 329, Joshuabury, WA, USA - 78811-8503",Mobile,+1-641-476-3018x990,In Review,Business,holmesheather@example.com,False,TAX68060,DUNS,aY18077,Inactive
Bowers-Moon,Partnership,"155 Courtney Port Suite 259, North Donnachester, FL, USA - 50431-8921",Fax,245-966-6504x1778,Rejected,Personal,barrymahoney@example.com,True,TAX82847,TIN,Jc85298,Active
"King, Hayes and Woods",Partnership,"793 Edwards Points, Nelsonport, NY, USA - 91091-2356",Mobile,001-929-979-8743x2475,In Review,Business,jwong@example.org,True,TAX50894,TIN,Zg19039,Inactive
Rivas PLC,Non-Profit,"4964 Hernandez Lakes Suite 605, New Joseph, KY, USA - 71384-9932",Office,001-716-756-3932x3206,Approved,Support,yhansen@example.net,False,TAX33126,EIN,zu11376,Active
"Nichols, Phillips and Schneider",Government,"1783 Shaffer Curve Apt. 535, New Johnborough, NY, USA - 74100-4655",Mobile,001-720-294-0786x69083,Rejected,Business,shannon34@example.net,False,TAX18466,PAN,HW49746,Inactive
Ballard-Carr,Government,"041 Dylan Forges Apt. 440, North Charlesmouth, ID, USA - 67373-2707",Fax,+1-947-971-5684x1520,Rejected,Business,thomassutton@example.org,False,TAX27416,TIN,Vs37410,Active
Thompson-Morris,Private,"24370 Romero Hills, Brianmouth, LA, USA - 73405-8477",Mobile,001-574-532-9227x195,Pending,Sales,ygreen@example.com,False,TAX78657,PAN,XJ64491,Active
Howe Group,Public,"830 Medina Vista, Port Donald, FM, USA - 80968-6292",Fax,001-823-561-3491x7650,Pending,Business,laurenhale@example.net,True,TAX97981,LEI,bw49488,Active
Herrera-Berg,Public,"77858 Thomas Rapid, West Jeffmouth, PA, USA - 43028-5894",Office,(953)607-9884,Rejected,HR,mccanngary@example.com,True,TAX74270,LEI,ES54598,Active
Bates PLC,Non-Profit,"79321 Lisa Walk Suite 234, Port Michelleborough, UT, USA - 77437-5021",Office,909.864.9447x29485,In Review,HR,wboyd@example.org,True,TAX94647,DUNS,Vv29144,Active
Brennan Inc,Government,"101 Steven Mission Suite 949, Hannashire, NY, USA - 19255-1816",Office,(201)506-1673x524,Pending,Sales,alanobrien@example.com,False,TAX59649,TIN,JR58928,Inactive
West Group,Partnership,"8946 Dylan Rapids Suite 166, Jordanchester, ME, USA - 98107-4663",Office,+1-445-745-2777x14914,Rejected,Business,tyler82@example.com,True,TAX92123,EIN,hx35001,Active
Garcia-Sanchez,Public,"0411 Ruiz Villages Suite 273, Deniseberg, IA, USA - 32598-9220",Office,001-200-933-5909x151,In Review,HR,xmedina@example.net,False,TAX27103,EIN,Bn28253,Inactive
"Washington, Gutierrez and Santos",Private,"9630 Mccullough Court Apt. 583, Lake Sydney, MO, USA - 14601-8728",Home,3588238822,In Review,HR,jonathanmalone@example.net,True,TAX11835,PAN,WK84961,Active
Leonard Group,Private,"431 Douglas Loaf, North Glen, WV, USA - 52580-1297",Home,374-339-4629,Approved,Sales,romeropaul@example.com,False,TAX88408,GST,fI52056,Inactive
Wright-Gates,Public,"64815 Joseph Villages Apt. 550, South Angelborough, TX, USA - 92670-3217",Home,972.298.9367x31581,Approved,HR,carterstephen@example.net,True,TAX81781,TIN,bp46572,Inactive
Love-Austin,Government,"07353 Alisha Forest Apt. 903, Erinshire, MN, USA - 58614-7863",Mobile,+1-708-359-0395x76336,Rejected,Business,sherry45@example.org,True,TAX40883,DUNS,af07101,Active
Stokes-Spears,Government,"4688 Stevens Hills, West Davidchester, MS, USA - 20179-1154",Mobile,001-591-432-5648,Approved,Business,lewisedward@example.org,True,TAX94849,EIN,Tm01807,Inactive
Burns Ltd,Public,"115 Ann Mountain, Baileyton, AK, USA - 63330-8784",Office,(807)960-8317,Pending,Sales,scottsusan@example.com,False,TAX32289,LEI,rJ14703,Inactive
"Byrd, Rivera and Turner",Partnership,"11958 Cook Tunnel Suite 985, New Amy, UT, USA - 22362-8902",Mobile,756.224.4767x60690,Rejected,Support,joshuathornton@example.com,False,TAX93025,PAN,gm13991,Inactive
"Walker, Miller and Brown",Private,"94202 Mcdonald Trace, Parsonsland, KY, USA - 85412-8366",Home,(328)506-3389,Pending,Sales,timothy68@example.com,False,TAX25025,GST,wm56785,Active
Bailey Ltd,Partnership,"53060 Garcia Hills Suite 778, New Trevor, WV, USA - 43648-8284",Mobile,+1-646-405-6118,Rejected,Business,rhernandez@example.com,True,TAX66875,DUNS,TI84090,Inactive
"Barnes, Martin and Nichols",Non-Profit,"2645 Carrie Knolls, Lake Joshuaside, WY, USA - 87461-5568",Home,(927)827-4250,Approved,Sales,lindseyshaffer@example.org,True,TAX19721,GST,bq36673,Active
Williams LLC,LLC,"960 Burch Causeway, West Mark, UT, USA - 98888-6873",Fax,+1-893-387-1749x685,Pending,Support,teresa70@example.com,True,TAX12406,PAN,ox65499,Active
Foster LLC,Non-Profit,"823 Beltran Oval, Port Brandon, UT, USA - 21135-4303",Office,+1-950-838-9498x657,Pending,Business,jennifer12@example.org,True,TAX27187,GST,YB85159,Active
Torres-Baxter,Non-Profit,"2682 Trevor Island Apt. 373, North Katherineside, KY, USA - 84762-8965",Fax,637-949-0882x4289,In Review,Sales,theresa15@example.org,True,TAX78894,GST,oI38426,Inactive
"Gomez, Obrien and Holt",Government,"3612 Kyle Isle Apt. 313, South Melissa, TN, USA - 60340-8882",Home,+1-867-388-2331x114,In Review,Business,andrewsanchez@example.net,False,TAX76952,PAN,lE53749,Active
Burgess Ltd,Private,"124 Walter Vista, Edwardston, MN, USA - 60430-6771",Fax,722-648-2248x528,In Review,Personal,riverasusan@example.net,False,TAX41836,GST,wO88491,Inactive
Johnson-Klein,Partnership,"214 Kayla Freeway Suite 915, Greerview, VI, USA - 68713-5858",Home,906-754-8490,Rejected,Personal,gcummings@example.org,True,TAX64064,EIN,Fg76437,Active
"Price, Robinson and Downs",Partnership,"697 Taylor Ville Apt. 302, Port Danielshire, WV, USA - 70954-1296",Fax,001-637-522-1646x617,Rejected,Personal,aprilgordon@example.net,True,TAX59384,LEI,cv86695,Inactive
"Quinn, Peterson and Hall",Public,"75201 Martinez Grove Suite 382, Nathanieltown, CA, USA - 70114-2762",Office,623.458.4652x161,Approved,Sales,jennifermcgee@example.org,False,TAX24582,EIN,Ya19898,Inactive
Bell Inc,LLC,"402 Munoz Key, New Heather, WY, USA - 43321-5183",Mobile,+1-463-594-1825x843,Rejected,Support,wperez@example.com,False,TAX64164,TIN,wn39465,Active
Cooper-Hopkins,Partnership,"0566 Nancy Stravenue Suite 515, Martineztown, AK, USA - 66075-1506",Home,+1-984-690-8896x6115,Validated,Business,lambsamantha@example.org,True,TAX53805,EIN,BC07437,Inactive
Phillips-Santos,LLC,"1752 Waters Glens Apt. 725, Port George, OH, USA - 42078-1166",Home,(560)446-3779x850,Validated,HR,andersonemily@example.com,False,TAX91121,EIN,gV09125,Inactive
"Mcconnell, Chung and Moyer",Private,"7007 Nelson Walks Apt. 135, Rhondaburgh, WA, USA - 44853-7413",Home,001-201-559-0854x76083,In Review,Business,williamwhite@example.com,True,TAX85341,TIN,Ks68699,Active
Pena Inc,Government,"91520 Alexandra Camp Suite 148, Greenland, AZ, USA - 75021-3674",Fax,(363)319-8323x0909,Pending,Support,jonathanwilson@example.com,True,TAX46108,PAN,mR15261,Inactive
"Mcknight, Bryant and Smith",Private,"792 Taylor Fort, East Lonnieview, DC, USA - 55365-8248",Mobile,+1-272-274-7350x3069,In Review,Business,kristinaerickson@example.com,True,TAX51598,DUNS,UH24316,Active
"Martinez, Allen and Randall",LLC,"167 Stephen Gardens, Simonbury, HI, USA - 61152-4760",Office,001-235-734-3138x0644,Rejected,Personal,stephensonwhitney@example.net,True,TAX31739,DUNS,EA65294,Inactive
Weaver Ltd,Public,"993 Craig Forges, Heatherborough, IN, USA - 32056-7707",Fax,+1-424-719-5792x056,Rejected,Personal,caseyspencer@example.net,True,TAX38899,PAN,qj08959,Inactive
"Villa, Herrera and Bennett",Public,"2652 Fernandez Plains, North Tiffany, MD, USA - 60823-3613",Fax,376.634.0907x8273,In Review,HR,johnstonchristopher@example.com,False,TAX72568,GST,tf58652,Inactive
Bentley LLC,LLC,"38948 Barber Haven Suite 921, Thompsonville, KY, USA - 11467-9181",Office,001-417-916-3880x560,Validated,HR,dlopez@example.org,True,TAX82515,GST,Mt41539,Inactive
Hood-Love,Public,"449 Harding River Apt. 381, East Sandra, MH, USA - 93303-7239",Fax,550.753.1488x81610,In Review,HR,yday@example.org,True,TAX97373,DUNS,Fw43259,Inactive
"Myers, Moore and Johnson",Non-Profit,"202 Rice Harbor, South Craig, MO, USA - 23502-4401",Office,001-604-566-1331x4208,Approved,Business,scott17@example.net,True,TAX97817,GST,yg41339,Active
"Rose, Diaz and Rosario",Public,"19623 Janet Pike Apt. 687, Nancyland, FL, USA - 15019-1687",Fax,646.502.2336x3238,Validated,Sales,iandrake@example.com,True,TAX52848,EIN,Qg86594,Inactive
Smith-Wang,Government,"4939 Kurt Falls, Jenniferport, TN, USA - 48379-8222",Mobile,+1-704-693-3278x6647,In Review,Support,elizabethcarter@example.com,True,TAX83285,EIN,WL35083,Active
Blake Group,Non-Profit,"289 Denise Center, North Monica, MS, USA - 76682-2093",Office,+1-741-726-3112x3393,Validated,HR,jenniferhughes@example.org,True,TAX13423,DUNS,TM92884,Inactive
Ford-Cooley,Private,"543 Anthony Cliffs Apt. 919, Nancyport, NJ, USA - 69413-7988",Fax,001-648-821-5087x334,Validated,Support,jessicabrown@example.com,True,TAX89503,PAN,ho78470,Inactive
"Smith, Smith and Ramsey",Government,"2429 Mark Meadow Apt. 003, Port Amberville, WV, USA - 60733-4698",Office,3856587850,Validated,Personal,meyercassandra@example.org,False,TAX33975,TIN,qn12454,Active
"Rose, Pena and Beck",Private,"719 Howell Square Suite 199, East Zacharyside, MD, USA - 41009-1849",Fax,904.824.7136,Pending,Sales,danielsnicholas@example.net,False,TAX39295,DUNS,Tl30707,Inactive
Williams-Kelley,Non-Profit,"026 Sanchez Glens Apt. 244, South Jacob, MI, USA - 42712-2293",Office,3822926098,Approved,HR,hernandezmary@example.net,False,TAX43797,GST,oG17450,Active
Price and Sons,Private,"44660 David Landing Apt. 896, Emilyberg, UT, USA - 76002-8955",Fax,612-939-6059,Validated,Support,pacecarlos@example.org,False,TAX28804,LEI,dx23269,Active
Rose-Bennett,Non-Profit,"218 Collins Stravenue Suite 264, South Jeanne, WV, USA - 12551-7174",Mobile,972-619-9116,In Review,Sales,bramirez@example.com,True,TAX97031,LEI,Wd69360,Active
"Fisher, Baldwin and Rogers",Private,"594 Tyler Causeway, East Reginaport, OH, USA - 54244-2704",Office,(989)438-8583x715,Pending,Business,ybates@example.com,True,TAX31369,GST,KT77305,Active
Lawson PLC,LLC,"64658 Bush Trafficway Suite 287, Sandersmouth, IN, USA - 59300-1868",Home,(999)750-9429,Pending,Support,rodgersjeffrey@example.com,True,TAX13811,GST,HD20637,Active
"Johnson, Wilson and Mann",Partnership,"637 Charles Loaf, Thompsonmouth, AZ, USA - 30417-6221",Office,001-329-790-4848x9479,Approved,Sales,hchavez@example.com,True,TAX29306,GST,Uu99139,Inactive
"Dyer, Adkins and Brown",Public,"998 Cole Light, Charlesland, GA, USA - 99434-6111",Office,+1-752-481-0217x611,Approved,Business,dwilson@example.net,False,TAX96694,DUNS,Ax80926,Inactive
"Maynard, Hansen and Young",Non-Profit,"924 Charles Port Apt. 209, Lake Mariaberg, MP, USA - 60301-8671",Office,(334)724-8546,Approved,HR,gsanders@example.com,False,TAX18782,DUNS,on53321,Active
Novak LLC,LLC,"20366 Adrian Flats Apt. 008, Port Ryanton, CO, USA - 32360-6467",Fax,(453)635-5512x83103,Approved,HR,tamara69@example.org,True,TAX49323,TIN,ms53687,Active
Simmons-Rodriguez,Government,"044 Gray Cliff Suite 160, South Derrickchester, WV, USA - 26179-7022",Office,001-795-405-0746x1181,Approved,HR,harry79@example.org,True,TAX61961,GST,AM50269,Inactive
"Walker, Pratt and Scott",Partnership,"73010 Padilla Union, Danielport, GA, USA - 11503-1877",Mobile,+1-695-926-3758x102,Validated,Sales,alewis@example.com,False,TAX86075,DUNS,Bm35490,Inactive
Bernard PLC,Private,"5482 Stephens Port Suite 170, South Nicolasshire, WY, USA - 51872-6931",Office,(806)955-8107,In Review,Sales,vmitchell@example.org,True,TAX59009,LEI,xC41840,Inactive
Smith-Lynch,LLC,"559 Courtney Lights, East Laura, VI, USA - 82687-6035",Home,730.261.9110x2406,Rejected,Business,jessepena@example.com,True,TAX35880,EIN,Ay65937,Inactive
Jackson-Garcia,Private,"890 Dwayne Squares, Bowenborough, GU, USA - 58693-9310",Fax,354-942-0357,Rejected,Sales,ewatson@example.org,True,TAX87951,GST,ye18910,Active
"Anderson, Evans and Myers",LLC,"854 Wayne Falls Apt. 369, East Curtis, MS, USA - 61428-1550",Fax,001-907-201-4162x197,Validated,Personal,joel29@example.net,True,TAX89519,EIN,XE32415,Inactive
Payne and Sons,Public,"96110 Christy Bridge, Lake Deborah, PA, USA - 89738-8308",Home,(396)522-2751x741,Validated,Sales,bstokes@example.com,False,TAX28338,TIN,hs46221,Inactive
Williams LLC,Partnership,"932 Rachel Forest Apt. 029, Port Rebeccaville, NV, USA - 75660-2938",Home,(911)441-0056,Validated,Personal,danielthomas@example.com,True,TAX84738,GST,mR67488,Active
Daniels-Martinez,Private,"08668 Hamilton Knoll Suite 327, West David, MA, USA - 24693-3220",Home,2023133496,Approved,HR,carlos51@example.net,False,TAX55317,TIN,jU46438,Active
Rogers-Gordon,Non-Profit,"93848 Evan Cape Suite 860, Lake Jennifer, NC, USA - 95762-6687",Fax,001-567-482-4444x9159,Validated,Support,rebekah93@example.org,True,TAX26085,LEI,qs26168,Inactive
Hughes-Morales,Public,"34837 Fletcher Valley, Elizabethville, WI, USA - 43631-4817",Home,941.927.5856x3041,Rejected,Business,acortez@example.com,False,TAX76551,LEI,LG84689,Inactive
Bryant PLC,Partnership,"9171 Richmond Squares, Lauraburgh, PR, USA - 27952-2390",Home,222-783-4396,In Review,Business,lboyle@example.net,False,TAX74199,PAN,jj39028,Active
"Wang, Smith and Kim",Non-Profit,"455 Padilla Glens Apt. 603, Wendystad, NY, USA - 29198-6894",Home,(637)452-6082,Rejected,Business,phillip47@example.net,True,TAX37154,EIN,Nl95810,Active
Carter-Bishop,Private,"94636 Johnson Islands, Port Katherine, MS, USA - 82653-6365",Mobile,(678)833-7872x71663,Pending,Sales,marc51@example.net,True,TAX73972,LEI,xT27986,Active
Higgins and Sons,Partnership,"51344 Villegas Falls, Marissabury, AZ, USA - 20440-4587",Fax,230-323-9787,Rejected,Sales,william60@example.net,False,TAX30706,EIN,Zh53476,Inactive
Gomez-Kirk,LLC,"6940 Ford Brook Apt. 473, Lake Chasehaven, UT, USA - 45336-3557",Office,975.565.5682x8129,Approved,Sales,cindykirk@example.com,True,TAX50490,EIN,Kg73452,Active
Peters-Torres,Government,"600 Gutierrez Land, Crystalland, FM, USA - 87098-4375",Office,477-803-0397,Rejected,Personal,myerswilliam@example.com,True,TAX69167,TIN,nY91319,Inactive
"Shaw, Frye and Holloway",Non-Profit,"60534 Angel Stream, Hernandezchester, GA, USA - 44055-8827",Office,2247756775,Rejected,Business,rodriguezpatrick@example.com,True,TAX85421,PAN,rB18607,Active
"Gutierrez, Wilson and Potter",Partnership,"63262 Chen Cliff, Meganton, MS, USA - 82674-8534",Fax,377-394-1384,Approved,Support,msmith@example.com,True,TAX60009,DUNS,Uv43224,Inactive
Snyder-Mitchell,Non-Profit,"21174 Toni Neck Apt. 957, New Chase, FM, USA - 15729-1101",Fax,448-701-3443,Approved,HR,juliamoore@example.net,True,TAX39541,LEI,YR60697,Active
Patterson and Sons,Government,"1987 Stewart Valley Apt. 578, South Thomas, VA, USA - 12392-6779",Home,703.674.2656,In Review,Personal,joshuagarcia@example.org,True,TAX18425,GST,Rq13595,Inactive
"Nguyen, Jones and Clark",Public,"66911 Megan Orchard Suite 577, Tinaland, NJ, USA - 39537-1601",Fax,+1-807-971-0139x506,Pending,HR,ubullock@example.net,False,TAX56895,LEI,eq57571,Inactive
"Logan, Avila and Rogers",Private,"98406 Nelson Squares, Brittneystad, GU, USA - 33535-7586",Home,+1-527-921-4871x558,Validated,HR,riverawilliam@example.net,False,TAX68257,DUNS,Ee90207,Inactive
Lee-Gardner,LLC,"15253 Frank Row Suite 078, Valenciaport, AR, USA - 57585-7419",Home,253.544.6762x752,Validated,HR,mmcdowell@example.com,True,TAX25037,TIN,Hu13851,Inactive
Bates-Ellis,Government,"1646 Adrian Shoal Apt. 000, Markhaven, ND, USA - 85111-9515",Home,218.759.5747x3197,Pending,Sales,jennifer23@example.com,True,TAX86307,LEI,Ys90843,Active
Johnson-Thomas,Partnership,"03355 Ryan Prairie Suite 558, Alexisburgh, CO, USA - 64771-1558",Fax,951.701.3889x86912,Rejected,Support,joshua21@example.net,True,TAX28719,LEI,FV78147,Inactive
